"","scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"1","Mertensia virginica","2022-04-26 08:32:14 -0400","","Horsham, PA 19044, USA",40.1943996828,-75.1666550059,"","Virginia bluebells","https://www.inaturalist.org/observations/112959579","https://static.inaturalist.org/photos/190845071/medium.jpeg","un6",112959579,"Virginia bluebells","Plantae",59771,1,0,"2022-04-26 08:32:14","2022-04-26","2022-04-26 12:32:14 UTC","Eastern Time (US & Canada)",9,9,"","","false","","",5566334,"2022-04-26 12:43:41 UTC","2022-04-26 12:53:40 UTC","research","",NA,2,"false"
"2","Mertensia virginica","2022-04-26 08:27:57 -0400","","Keith Valley Business Park, Horsham, PA, US",40.1964473818,-75.1671476104,"","Virginia bluebells","https://www.inaturalist.org/observations/112958334","https://inaturalist-open-data.s3.amazonaws.com/photos/190842723/medium.jpg","ricky2005",112958334,"Virginia bluebells","Plantae",59771,1,0,"2022-04-26 08:27:57-04:00","2022-04-26","2022-04-26 12:27:57 UTC","Eastern Time (US & Canada)",4,4,"","","false","","",5566364,"2022-04-26 12:28:11 UTC","2022-04-26 12:37:51 UTC","research","CC-BY-NC",NA,3,"false"
"3","Mertensia virginica","2022-04-26 08:16:55 -0400","","Pittsburgh",40.4385375977,-79.9468383789,"","Virginia bluebells","https://www.inaturalist.org/observations/112957370","https://static.inaturalist.org/photos/190841081/medium.jpeg","dan166",112957370,"Virginia bluebells","Plantae",59771,1,0,"Tue Apr 26 2022 08:16:55 GMT -0400 (EDT)","2022-04-26","2022-04-26 12:16:55 UTC","Eastern Time (US & Canada)",53,53,"","","false","","",862351,"2022-04-26 12:17:03 UTC","2022-04-26 12:39:11 UTC","research","",NA,333,"false"
"4","Mertensia virginica","2022-04-25 09:09:17 -0400","","Rockstull Rd, Logan, OH, US",39.6368833333,-82.4597866667,"","Virginia bluebells","https://www.inaturalist.org/observations/112953505","https://static.inaturalist.org/photos/190834080/medium.jpg","ernemcf",112953505,"Virginia bluebells","Plantae",59771,1,0,"2022-04-25 09:09:17-04:00","2022-04-25","2022-04-25 13:09:17 UTC","Eastern Time (US & Canada)",13,13,"","","false","","",1264207,"2022-04-26 11:24:37 UTC","2022-04-26 12:01:10 UTC","research","",NA,3,"false"
"5","Mertensia virginica","2022-04-24 14:32:00 -0400","Mertensia virginica, the Virginia bluebell.","Monongalia County, WV, USA",39.6121724051,-79.9295288193,"","Virginia bluebells","https://www.inaturalist.org/observations/112951266","https://static.inaturalist.org/photos/190741292/medium.jpg","tcooley",112951266,"Virginia bluebells","Plantae",59771,1,0,"2022/04/24 2:32 PM","2022-04-24","2022-04-24 18:32:00 UTC","Eastern Time (US & Canada)",8,8,"","","false","","",3978483,"2022-04-26 10:50:41 UTC","2022-04-26 11:35:40 UTC","research","CC-BY-NC",NA,NA,"false"
"6","Mertensia virginica","2022-04-25 09:08:00 -0400","","Summit County, OH, USA",41.205014131,-81.5805136836,"","Virginia bluebells","https://www.inaturalist.org/observations/112946820","https://inaturalist-open-data.s3.amazonaws.com/photos/190822536/medium.jpg","reiser",112946820,"Virginia bluebells","Plantae",59771,1,0,"2022/04/25 9:08 AM","2022-04-25","2022-04-25 13:08:00 UTC","Eastern Time (US & Canada)",187,187,"","","false","","",320520,"2022-04-26 09:30:34 UTC","2022-04-26 12:01:43 UTC","research","CC-BY-NC",NA,NA,"false"
"7","Mertensia virginica","2022-04-22 10:49:34 -0400","","Wernle Rd, Richmond, IN, US",39.8000866667,-84.8451166667,"","Virginia bluebells","https://www.inaturalist.org/observations/112926268","https://static.inaturalist.org/photos/190784061/medium.jpg","ahoffman",112926268,"Virginia bluebells","Plantae",59771,1,0,"2022-04-22 10:49:34-04:00","2022-04-22","2022-04-22 14:49:34 UTC","Indiana (East)",246,246,"","","false","","",2260,"2022-04-26 03:15:56 UTC","2022-04-26 03:26:52 UTC","research","",NA,3,"false"
"8","Mertensia lanceolata","2022-04-25 12:41:54 -0600","","Deer Creek Canyon Park, Littleton, CO, US",39.53137,-105.1640028333,"","Prairie Bluebells","https://www.inaturalist.org/observations/112925496","https://inaturalist-open-data.s3.amazonaws.com/photos/190782698/medium.jpg","jentoews",112925496,"Prairie Bluebells","Plantae",165348,1,0,"2022-04-25 12:41:54-06:00","2022-04-25","2022-04-25 18:41:54 UTC","Mountain Time (US & Canada)",81,81,"","","false","","",1211821,"2022-04-26 03:06:47 UTC","2022-04-26 12:49:17 UTC","research","CC-BY-NC",NA,3,"false"
"9","Mertensia virginica","2022-04-22 10:33:46 -0400","","Richmond, IN, US",39.8004883333,-84.84362,"","Virginia bluebells","https://www.inaturalist.org/observations/112923078","https://static.inaturalist.org/photos/190778177/medium.jpg","ahoffman",112923078,"Virginia bluebells","Plantae",59771,1,0,"2022-04-22 10:33:46-04:00","2022-04-22","2022-04-22 14:33:46 UTC","Indiana (East)",5,5,"","","false","","",2260,"2022-04-26 02:38:41 UTC","2022-04-26 02:41:55 UTC","research","",NA,3,"false"
"10","Mertensia virginica","2022-04-18 15:51:00 -0500","","2610 N Cannon Dr, Chicago, IL 60614, USA",41.9298705,-87.6374652,"","Virginia bluebells","https://www.inaturalist.org/observations/112918928","https://inaturalist-open-data.s3.amazonaws.com/photos/190770360/medium.jpeg","benzerante",112918928,"Virginia bluebells","Plantae",59771,1,0,"2022/04/18 3:51 PM","2022-04-18","2022-04-18 20:51:00 UTC","Central Time (US & Canada)",186,186,"","","false","","",917650,"2022-04-26 01:55:19 UTC","2022-04-26 03:02:53 UTC","research","CC-BY-NC",NA,NA,"false"
